scenario_id,scenario_type,asset_type,threat_category,vulnerability_score,asset_importance,exposure_level,security_maturity,control_effectiveness,threat_intensity,incident_likelihood,data_sensitivity,estimated_financial_impact,risk_score,risk_level,response_priority
RISK-2269,Credential Compromise,Web Server,Vulnerability Exploitation,2.37,7,9,5,7,5,0.37,3,1861812,100.0,High,1순위
RISK-2270,Insider Threat,VPN Server,C2 Communication,5.12,10,1,7,10,2,0.4,6,1866114,66.04,Medium,2순위
RISK-2271,Insider Threat,Database Server,DDoS,1.04,3,4,1,4,8,0.76,2,1837982,93.32,High,1순위
RISK-2272,Data Leakage,VPN Server,C2 Communication,3.85,3,7,8,9,9,0.34,5,1803891,79.98,High,1순위
RISK-2273,Data Leakage,Database Server,Data Exfiltration,4.88,7,9,10,7,7,0.5,9,1964085,100.0,High,1순위
RISK-2274,Insider Threat,Cloud Service,Data Exfiltration,6.52,2,10,5,1,9,0.61,3,1143861,100.0,High,1순위
RISK-2275,Service Disruption,Web Server,Vulnerability Exploitation,9.51,1,6,8,4,4,0.26,2,1767771,91.25,High,1순위
RISK-2276,Malware Infection,Cloud Service,Vulnerability Exploitation,6.01,9,8,10,10,7,0.7,2,1623234,100.0,High,1순위
RISK-2277,Credential Compromise,Endpoint PC,Vulnerability Exploitation,7.44,9,9,10,6,5,0.54,9,3253808,100.0,High,1순위
RISK-2278,Data Leakage,File Server,Data Exfiltration,5.06,7,10,5,6,5,0.45,6,2301362,100.0,High,1순위
RISK-2279,Credential Compromise,Database Server,Data Exfiltration,6.34,7,4,7,10,3,0.78,2,1578210,75.07,High,1순위
RISK-2280,Data Leakage,File Server,C2 Communication,0.71,3,1,10,6,9,0.27,3,1106495,37.64,Low,3순위
RISK-2281,External Attack,Cloud Service,Data Exfiltration,2.54,10,8,3,5,10,0.84,1,2039639,100.0,High,1순위
RISK-2282,External Attack,Web Server,DDoS,3.62,2,2,2,3,5,0.55,2,1060305,72.69,High,1순위
RISK-2283,Insider Threat,Web Server,Phishing,4.72,7,1,6,2,6,0.6,2,1812179,100.0,High,1순위
RISK-2284,External Attack,Cloud Service,Phishing,0.46,9,7,5,3,3,0.84,2,1695294,87.89,High,1순위
RISK-2285,External Attack,Cloud Service,Vulnerability Exploitation,1.4,1,10,9,9,10,0.79,7,1964417,93.63,High,1순위
RISK-2286,Malware Infection,Web Server,Data Exfiltration,2.77,4,9,10,3,7,0.59,3,1854147,96.14,High,1순위
RISK-2287,Service Disruption,Endpoint PC,DDoS,9.72,6,9,4,3,9,0.73,4,2451444,100.0,High,1순위
RISK-2288,Insider Threat,Database Server,Phishing,3.31,7,3,3,1,9,0.44,2,2378785,100.0,High,1순위
RISK-2289,Malware Infection,File Server,C2 Communication,4.82,10,6,9,2,10,0.54,5,2722975,100.0,High,1순위
RISK-2290,Insider Threat,VPN Server,Brute Force,1.96,7,7,8,3,10,0.11,9,2869574,100.0,High,1순위
RISK-2291,Service Disruption,Cloud Service,C2 Communication,6.11,10,10,6,2,5,0.13,9,3017706,100.0,High,1순위
RISK-2292,Insider Threat,Cloud Service,Brute Force,2.81,2,9,1,8,7,0.8,7,1808065,100.0,High,1순위
RISK-2293,Credential Compromise,Web Server,DDoS,2.07,4,2,10,6,3,0.1,8,1474899,34.77,Low,3순위
RISK-2294,Credential Compromise,File Server,C2 Communication,5.17,5,8,1,7,6,0.2,5,1697887,100.0,High,1순위
RISK-2295,Credential Compromise,File Server,Phishing,0.06,1,7,6,1,8,0.77,5,1690168,81.25,High,1순위
RISK-2296,External Attack,Endpoint PC,Data Exfiltration,0.08,1,4,3,6,8,0.05,3,1143628,54.45,Medium,2순위
RISK-2297,Service Disruption,Database Server,Brute Force,2.19,10,2,3,2,2,0.3,6,2323264,90.27,High,1순위
RISK-2298,Malware Infection,Endpoint PC,Data Exfiltration,0.37,3,8,6,6,6,0.58,1,1470544,60.73,Medium,2순위
RISK-2299,Malware Infection,Endpoint PC,DDoS,1.08,10,5,3,3,7,0.59,3,2729865,100.0,High,1순위
RISK-2300,Data Leakage,File Server,Data Exfiltration,3.39,3,6,10,7,7,0.75,2,1521343,77.11,High,1순위
RISK-2301,Malware Infection,Database Server,Phishing,8.03,8,7,6,3,3,0.51,7,1853429,100.0,High,1순위
RISK-2302,Credential Compromise,Database Server,DDoS,5.72,9,10,5,9,9,0.51,9,2355182,100.0,High,1순위
RISK-2303,Credential Compromise,Database Server,Vulnerability Exploitation,5.13,1,1,4,3,2,0.7,4,1430203,61.64,Medium,2순위
RISK-2304,Data Leakage,Web Server,Vulnerability Exploitation,2.93,2,8,8,7,3,0.5,7,1169869,71.82,High,1순위
RISK-2305,External Attack,Database Server,Brute Force,9.32,10,4,2,4,2,0.6,8,2694432,100.0,High,1순위
RISK-2306,Malware Infection,File Server,Phishing,3.97,2,9,7,8,9,0.86,10,2523218,100.0,High,1순위
RISK-2307,Service Disruption,Web Server,Data Exfiltration,0.87,4,1,4,2,4,0.41,2,1263861,48.56,Medium,2순위
RISK-2308,Data Leakage,VPN Server,C2 Communication,6.17,2,2,2,8,2,0.4,7,1819631,68.94,Medium,2순위
RISK-2309,Malware Infection,Cloud Service,C2 Communication,1.14,7,6,7,9,3,0.05,3,1656311,58.35,Medium,2순위
RISK-2310,External Attack,Endpoint PC,DDoS,3.45,9,10,1,8,4,0.6,8,2053658,100.0,High,1순위
RISK-2311,Service Disruption,Database Server,Brute Force,5.07,7,1,4,6,10,0.08,6,2556740,100.0,High,1순위
RISK-2312,Service Disruption,VPN Server,Brute Force,8.74,6,4,9,10,6,0.5,3,2518520,100.0,High,1순위
RISK-2313,External Attack,Database Server,Brute Force,4.94,10,8,4,1,5,0.77,8,2644073,100.0,High,1순위
RISK-2314,Malware Infection,Endpoint PC,Phishing,7.02,1,10,3,7,3,0.54,3,1081593,100.0,High,1순위
RISK-2315,Insider Threat,File Server,C2 Communication,9.93,10,5,10,1,10,0.29,9,2481693,100.0,High,1순위
RISK-2316,Malware Infection,File Server,DDoS,1.31,9,9,10,7,8,0.76,3,2113468,100.0,High,1순위
RISK-2317,Data Leakage,Endpoint PC,Phishing,2.75,5,6,2,2,8,0.29,1,1855303,100.0,High,1순위
RISK-2318,Data Leakage,VPN Server,DDoS,3.95,5,1,3,8,7,0.71,2,1459365,84.89,High,1순위
RISK-2319,Malware Infection,Web Server,Phishing,4.22,6,6,1,2,3,0.6,4,2674407,100.0,High,1순위
RISK-2320,Credential Compromise,Cloud Service,Data Exfiltration,4.11,9,6,10,3,1,0.2,2,1917503,70.85,High,1순위
RISK-2321,Data Leakage,Cloud Service,Phishing,9.08,8,6,8,3,5,0.86,4,2115828,100.0,High,1순위
RISK-2322,Insider Threat,Cloud Service,Phishing,7.14,8,8,1,1,1,0.23,4,2517327,100.0,High,1순위
RISK-2323,Credential Compromise,Web Server,Data Exfiltration,6.08,8,6,3,5,6,0.94,4,1806801,100.0,High,1순위
RISK-2324,Insider Threat,Database Server,Vulnerability Exploitation,3.09,1,5,3,5,7,0.06,1,1253071,63.75,Medium,2순위
RISK-2325,Service Disruption,Endpoint PC,Data Exfiltration,8.24,1,2,2,10,5,0.29,9,1694170,92.6,High,1순위
RISK-2326,Data Leakage,Endpoint PC,Brute Force,9.55,8,4,5,5,4,0.23,10,2294304,100.0,High,1순위
RISK-2327,Credential Compromise,Web Server,Vulnerability Exploitation,8.21,5,10,10,9,2,0.06,7,1623424,100.0,High,1순위
RISK-2328,Malware Infection,VPN Server,C2 Communication,0.02,9,5,3,6,5,0.71,2,2837448,91.95,High,1순위
RISK-2329,Credential Compromise,Cloud Service,DDoS,6.36,2,10,3,6,9,0.67,3,1887109,100.0,High,1순위
RISK-2330,Service Disruption,Endpoint PC,Phishing,0.51,9,4,8,3,4,0.76,8,1985435,91.11,High,1순위
RISK-2331,Insider Threat,File Server,Vulnerability Exploitation,2.58,8,2,4,5,2,0.28,7,1881287,82.94,High,1순위
RISK-2332,Service Disruption,File Server,C2 Communication,0.6,9,7,4,10,6,0.45,4,2729491,89.55,High,1순위
RISK-2333,External Attack,Endpoint PC,Data Exfiltration,6.04,4,10,3,7,8,0.64,4,1627677,100.0,High,1순위
RISK-2334,Data Leakage,Cloud Service,Data Exfiltration,6.87,1,10,1,3,2,0.45,9,2523632,100.0,High,1순위
RISK-2335,Malware Infection,Cloud Service,Brute Force,1.14,1,2,8,2,9,0.68,5,1801427,61.74,Medium,2순위
RISK-2336,Insider Threat,Cloud Service,Brute Force,3.84,5,1,1,5,7,0.62,5,2675638,100.0,High,1순위
RISK-2337,Service Disruption,VPN Server,Vulnerability Exploitation,4.56,2,5,7,3,2,0.15,7,2039401,74.64,High,1순위
RISK-2338,Malware Infection,File Server,DDoS,3.69,8,1,5,5,5,0.75,1,1742641,80.58,High,1순위
RISK-2339,Data Leakage,VPN Server,Phishing,1.21,10,1,4,9,5,0.7,3,1871362,79.2,High,1순위
RISK-2340,Malware Infection,Web Server,Data Exfiltration,4.19,5,1,4,10,7,0.64,2,1437305,71.96,High,1순위
RISK-2341,Data Leakage,Database Server,Vulnerability Exploitation,7.51,5,6,8,1,5,0.19,10,1719694,100.0,High,1순위
RISK-2342,Data Leakage,Cloud Service,Vulnerability Exploitation,0.71,2,9,6,4,6,0.29,6,2180224,76.42,High,1순위
RISK-2343,Data Leakage,Web Server,DDoS,0.8,7,10,1,10,9,0.4,6,1940104,100.0,High,1순위
RISK-2344,Service Disruption,Database Server,Vulnerability Exploitation,3.55,8,1,10,5,3,0.3,10,2068110,71.86,High,1순위
RISK-2345,Data Leakage,File Server,Brute Force,9.42,10,5,8,2,3,0.26,1,2318429,100.0,High,1순위
RISK-2346,Malware Infection,Database Server,DDoS,6.69,1,9,2,2,8,0.77,6,1572562,100.0,High,1순위
RISK-2347,External Attack,Database Server,Data Exfiltration,6.79,2,9,6,1,10,0.62,10,1882135,100.0,High,1순위
RISK-2348,Malware Infection,Endpoint PC,Brute Force,3.62,10,1,9,8,6,0.56,2,1528003,76.41,High,1순위
RISK-2349,Service Disruption,Database Server,Brute Force,5.94,4,8,1,2,10,0.25,4,1672323,100.0,High,1순위
RISK-2350,Data Leakage,Endpoint PC,DDoS,0.1,5,1,6,3,3,0.88,6,1365194,40.86,Medium,2순위
RISK-2351,External Attack,Database Server,DDoS,6.36,2,8,8,2,2,0.22,3,1515117,85.0,High,1순위
RISK-2352,Service Disruption,Endpoint PC,Vulnerability Exploitation,9.13,1,1,10,4,2,0.77,3,1160410,58.08,Medium,2순위
RISK-2353,Insider Threat,File Server,C2 Communication,6.13,9,5,2,1,2,0.92,3,2754691,100.0,High,1순위
RISK-2354,Insider Threat,File Server,C2 Communication,8.74,1,8,5,3,5,0.7,4,1567202,100.0,High,1순위
RISK-2355,Insider Threat,Database Server,C2 Communication,7.24,4,6,6,5,5,0.94,9,2025862,100.0,High,1순위
RISK-2356,External Attack,VPN Server,Vulnerability Exploitation,1.21,2,9,5,10,1,0.64,4,1073444,38.16,Low,3순위
RISK-2357,Malware Infection,File Server,Phishing,9.02,4,1,3,1,2,0.25,4,1857431,100.0,High,1순위
RISK-2358,External Attack,Web Server,Data Exfiltration,0.66,8,9,4,4,2,0.23,4,2296472,93.19,High,1순위
RISK-2359,External Attack,Web Server,Vulnerability Exploitation,5.34,8,1,7,6,4,0.34,7,2851982,100.0,High,1순위
RISK-2360,External Attack,Endpoint PC,Vulnerability Exploitation,1.42,9,10,4,4,7,0.06,5,2913234,100.0,High,1순위
RISK-2361,Insider Threat,VPN Server,Brute Force,0.12,5,10,9,7,3,0.66,2,1813644,64.37,Medium,2순위
RISK-2362,Credential Compromise,Cloud Service,C2 Communication,4.22,7,3,10,7,5,0.29,7,1492252,75.91,High,1순위
RISK-2363,Malware Infection,Endpoint PC,DDoS,2.95,3,1,2,6,9,0.78,3,1583189,90.14,High,1순위
RISK-2364,Credential Compromise,Database Server,Vulnerability Exploitation,4.86,10,3,5,9,5,0.37,1,1685880,96.25,High,1순위
RISK-2365,Credential Compromise,File Server,Phishing,5.77,4,2,8,2,9,0.48,9,2565048,100.0,High,1순위
RISK-2366,External Attack,VPN Server,Data Exfiltration,0.44,10,2,5,10,1,0.92,5,1592265,51.19,Medium,2순위
RISK-2367,Malware Infection,Endpoint PC,Phishing,1.23,9,9,10,8,9,0.27,10,1988798,100.0,High,1순위
RISK-2368,Credential Compromise,Endpoint PC,Vulnerability Exploitation,5.59,10,8,8,8,5,0.7,1,2868782,100.0,High,1순위
RISK-2369,Data Leakage,Web Server,Vulnerability Exploitation,3.43,10,1,8,10,8,0.73,1,2468906,83.11,High,1순위
RISK-2370,External Attack,Database Server,Brute Force,7.29,1,4,9,4,5,0.25,1,1190091,63.03,Medium,2순위
RISK-2371,External Attack,Endpoint PC,Phishing,6.52,2,1,10,6,6,0.5,9,1739469,71.67,High,1순위
RISK-2372,External Attack,Web Server,Brute Force,8.46,5,1,6,6,8,0.37,8,2575086,100.0,High,1순위
RISK-2373,Data Leakage,VPN Server,DDoS,6.92,3,4,4,5,2,0.74,6,2263234,89.99,High,1순위
RISK-2374,Data Leakage,Endpoint PC,Phishing,4.3,2,2,3,1,3,0.61,10,2099275,98.75,High,1순위
RISK-2375,Insider Threat,Cloud Service,C2 Communication,6.73,1,3,5,3,9,0.48,6,1587905,100.0,High,1순위
RISK-2376,Service Disruption,Cloud Service,DDoS,2.75,10,9,6,7,5,0.75,6,2748623,100.0,High,1순위
RISK-2377,Malware Infection,Web Server,C2 Communication,3.06,3,2,3,8,5,0.26,4,1603263,64.73,Medium,2순위
RISK-2378,Service Disruption,Cloud Service,Phishing,7.89,1,4,2,2,9,0.73,5,1894078,100.0,High,1순위
RISK-2379,External Attack,Database Server,Brute Force,4.46,1,1,7,3,10,0.83,10,2531930,100.0,High,1순위
RISK-2380,Credential Compromise,File Server,C2 Communication,7.98,1,2,5,4,3,0.84,3,1324727,88.33,High,1순위
RISK-2381,External Attack,Cloud Service,Vulnerability Exploitation,8.22,8,5,9,5,4,0.76,3,2309793,100.0,High,1순위
RISK-2382,Credential Compromise,VPN Server,Data Exfiltration,8.58,3,10,3,3,7,0.42,10,2666721,100.0,High,1순위
RISK-2383,Insider Threat,Endpoint PC,Brute Force,9.17,1,1,8,5,2,0.93,7,1279503,76.51,High,1순위
RISK-2384,Service Disruption,Web Server,DDoS,4.31,7,7,6,8,8,0.39,5,2208590,100.0,High,1순위
RISK-2385,External Attack,Endpoint PC,DDoS,3.19,10,4,4,8,5,0.62,8,2251189,100.0,High,1순위
RISK-2386,Service Disruption,File Server,Phishing,5.82,3,6,9,2,1,0.19,5,1313369,81.74,High,1순위
RISK-2387,Insider Threat,Endpoint PC,DDoS,3.71,8,8,5,6,3,0.93,4,3035831,100.0,High,1순위
RISK-2388,Service Disruption,Endpoint PC,Data Exfiltration,6.01,4,6,10,4,9,0.68,3,2461123,100.0,High,1순위
RISK-2389,Credential Compromise,Web Server,Data Exfiltration,7.06,4,2,6,9,5,0.73,2,1591873,75.47,High,1순위
RISK-2390,Malware Infection,File Server,Vulnerability Exploitation,6.88,5,1,9,10,8,0.11,3,1152012,72.04,High,1순위
RISK-2391,Insider Threat,VPN Server,DDoS,3.75,6,8,7,2,1,0.74,7,2412599,100.0,High,1순위
RISK-2392,Service Disruption,Web Server,Brute Force,1.67,7,8,5,8,7,0.75,8,2752440,100.0,High,1순위
RISK-2393,External Attack,File Server,Data Exfiltration,4.31,4,9,2,1,7,0.65,5,1922669,100.0,High,1순위
RISK-2394,Data Leakage,File Server,Brute Force,1.43,8,6,4,6,8,0.31,1,2720024,99.63,High,1순위
RISK-2395,Data Leakage,Endpoint PC,Vulnerability Exploitation,8.9,6,1,2,10,3,0.49,3,1838025,99.02,High,1순위
RISK-2396,Insider Threat,Database Server,Phishing,3.46,1,9,3,1,1,0.15,4,1729669,76.18,High,1순위
RISK-2397,Data Leakage,Database Server,Data Exfiltration,1.54,1,3,10,2,9,0.47,10,1719626,70.26,High,1순위
RISK-2398,Malware Infection,VPN Server,Data Exfiltration,0.25,9,6,3,3,1,0.27,4,2103871,86.34,High,1순위
RISK-2399,Insider Threat,Endpoint PC,Data Exfiltration,6.46,10,10,4,9,6,0.36,1,2302316,100.0,High,1순위
RISK-2400,External Attack,Database Server,DDoS,6.37,6,10,6,5,9,0.2,10,2002388,100.0,High,1순위
RISK-2401,External Attack,Web Server,Brute Force,3.41,10,9,3,10,2,0.26,9,2888800,100.0,High,1순위
RISK-2402,Insider Threat,VPN Server,Data Exfiltration,0.72,8,3,10,10,4,0.12,10,2228784,55.23,Medium,2순위
RISK-2403,Data Leakage,Endpoint PC,Brute Force,4.1,7,5,1,2,2,0.88,4,2196589,100.0,High,1순위
RISK-2404,Data Leakage,Cloud Service,DDoS,3.11,6,5,1,10,4,0.53,2,1520005,78.1,High,1순위
RISK-2405,External Attack,Web Server,C2 Communication,6.77,4,10,9,5,2,0.41,9,2289457,100.0,High,1순위
RISK-2406,Malware Infection,Database Server,C2 Communication,6.06,7,7,9,5,1,0.53,4,1771994,93.57,High,1순위
RISK-2407,Credential Compromise,Database Server,Brute Force,3.65,9,4,5,1,3,0.62,4,1786218,100.0,High,1순위
RISK-2408,Data Leakage,Database Server,DDoS,2.18,10,4,9,3,8,0.88,6,2798986,100.0,High,1순위
RISK-2409,Malware Infection,Database Server,C2 Communication,9.88,10,7,7,5,5,0.21,8,2534326,100.0,High,1순위
RISK-2410,Data Leakage,File Server,Vulnerability Exploitation,4.54,7,9,9,9,4,0.32,5,2144360,100.0,High,1순위
RISK-2411,Credential Compromise,Cloud Service,Vulnerability Exploitation,6.88,1,4,7,10,5,0.93,8,1778480,80.16,High,1순위
RISK-2412,Insider Threat,VPN Server,C2 Communication,1.41,10,4,9,1,6,0.38,1,2801834,100.0,High,1순위
RISK-2413,Service Disruption,VPN Server,Phishing,4.86,9,6,2,8,6,0.07,4,2431942,100.0,High,1순위
RISK-2414,External Attack,Database Server,Brute Force,0.28,4,6,8,1,5,0.18,1,928194,58.18,Medium,2순위
RISK-2415,Insider Threat,VPN Server,C2 Communication,5.05,3,7,7,9,6,0.07,3,1527634,66.92,Medium,2순위
RISK-2416,Data Leakage,Cloud Service,Brute Force,9.64,4,1,6,6,9,0.94,7,2458705,100.0,High,1순위
RISK-2417,Credential Compromise,Web Server,DDoS,3.84,4,3,5,1,5,0.3,1,1541618,75.6,High,1순위
RISK-2418,External Attack,Web Server,C2 Communication,0.39,10,9,4,8,6,0.88,5,2732933,100.0,High,1순위
RISK-2419,Service Disruption,VPN Server,Vulnerability Exploitation,0.31,2,6,7,5,4,0.95,1,718252,40.9,Medium,2순위
RISK-2420,Service Disruption,Database Server,DDoS,3.88,1,6,3,7,3,0.59,6,1309700,69.64,Medium,2순위
RISK-2421,Credential Compromise,Endpoint PC,Phishing,1.6,10,5,8,7,6,0.08,9,2464177,94.39,High,1순위
RISK-2422,Credential Compromise,Cloud Service,Brute Force,0.23,1,3,2,7,5,0.12,3,617454,30.81,Low,3순위
RISK-2423,Data Leakage,Database Server,Phishing,7.56,8,5,1,6,4,0.48,6,2306414,100.0,High,1순위
RISK-2424,External Attack,File Server,Vulnerability Exploitation,4.59,2,1,2,8,5,0.42,4,1456419,64.2,Medium,2순위
RISK-2425,Data Leakage,Endpoint PC,Data Exfiltration,2.89,10,3,9,9,7,0.6,6,2578094,100.0,High,1순위
RISK-2426,Service Disruption,Cloud Service,Data Exfiltration,9.0,5,4,5,2,1,0.44,2,2213845,100.0,High,1순위
RISK-2427,Insider Threat,File Server,Brute Force,1.16,4,5,8,7,1,0.89,4,915995,29.7,Low,3순위
RISK-2428,Insider Threat,VPN Server,DDoS,9.56,8,10,3,2,1,0.53,7,3455979,100.0,High,1순위
RISK-2429,Malware Infection,File Server,Vulnerability Exploitation,3.14,2,9,7,6,2,0.67,6,1914657,82.85,High,1순위
RISK-2430,Service Disruption,VPN Server,Brute Force,8.88,10,4,2,2,9,0.86,9,2727554,100.0,High,1순위
RISK-2431,Service Disruption,File Server,DDoS,6.03,9,3,8,10,5,0.18,7,1949627,100.0,High,1순위
RISK-2432,Data Leakage,Endpoint PC,Brute Force,8.27,7,10,7,6,9,0.26,1,1448901,100.0,High,1순위
RISK-2433,Malware Infection,File Server,Brute Force,9.84,7,1,5,2,5,0.15,6,2941143,100.0,High,1순위
RISK-2434,Credential Compromise,Database Server,Phishing,2.88,1,10,4,1,7,0.18,3,1510507,100.0,High,1순위
RISK-2435,Malware Infection,VPN Server,C2 Communication,9.61,2,6,1,7,6,0.51,8,1899602,100.0,High,1순위
RISK-2436,External Attack,Web Server,Vulnerability Exploitation,3.89,4,7,5,3,2,0.34,1,1454067,82.93,High,1순위
RISK-2437,Data Leakage,File Server,Phishing,3.86,4,10,9,4,3,0.43,10,2083314,100.0,High,1순위
RISK-2438,Credential Compromise,VPN Server,DDoS,3.4,3,8,10,6,5,0.93,2,1725232,81.44,High,1순위
RISK-2439,Credential Compromise,Web Server,C2 Communication,5.41,7,1,4,5,4,0.19,3,2042805,87.37,High,1순위
RISK-2440,Insider Threat,VPN Server,Brute Force,1.54,8,4,9,4,6,0.54,3,2437945,84.46,High,1순위
RISK-2441,External Attack,VPN Server,Data Exfiltration,5.54,2,5,2,9,8,0.14,7,1865666,100.0,High,1순위
RISK-2442,Malware Infection,Web Server,Phishing,5.42,4,2,4,6,8,0.34,8,2270829,100.0,High,1순위
RISK-2443,Insider Threat,Web Server,Vulnerability Exploitation,7.62,3,1,9,6,3,0.52,9,1610946,77.95,High,1순위
RISK-2444,Service Disruption,Endpoint PC,Vulnerability Exploitation,8.34,2,8,4,2,4,0.9,7,2187559,100.0,High,1순위
RISK-2445,Data Leakage,Cloud Service,C2 Communication,4.4,6,6,5,6,1,0.4,8,2520107,89.28,High,1순위
RISK-2446,Malware Infection,File Server,Phishing,3.02,4,5,8,7,2,0.11,6,1397711,55.97,Medium,2순위
RISK-2447,Service Disruption,File Server,Brute Force,2.59,6,9,1,8,9,0.4,2,1739768,100.0,High,1순위
RISK-2448,Credential Compromise,VPN Server,C2 Communication,1.95,2,2,1,8,10,0.18,1,1208470,56.89,Medium,2순위
RISK-2449,Malware Infection,Database Server,DDoS,0.58,4,10,9,9,10,0.26,3,1415279,88.59,High,1순위
RISK-2450,Insider Threat,Database Server,Vulnerability Exploitation,3.42,6,8,9,10,2,0.61,9,1758632,83.1,High,1순위
RISK-2451,External Attack,Cloud Service,DDoS,2.7,5,10,4,3,6,0.11,7,2765202,100.0,High,1순위
RISK-2452,Insider Threat,VPN Server,Phishing,9.66,3,9,2,10,7,0.47,2,1725216,100.0,High,1순위
RISK-2453,Data Leakage,Endpoint PC,Data Exfiltration,5.58,8,1,9,7,6,0.6,1,2289291,80.3,High,1순위
RISK-2454,Data Leakage,Web Server,DDoS,3.47,7,7,4,7,8,0.43,2,2609365,100.0,High,1순위
RISK-2455,Malware Infection,VPN Server,Brute Force,5.8,3,8,6,1,9,0.07,3,1495609,100.0,High,1순위
RISK-2456,Insider Threat,File Server,Vulnerability Exploitation,1.39,6,3,1,8,8,0.94,6,1953205,98.37,High,1순위
RISK-2457,External Attack,Database Server,Phishing,4.44,4,4,9,4,5,0.38,9,2477768,87.78,High,1순위
RISK-2458,Credential Compromise,Database Server,Data Exfiltration,6.26,5,3,5,5,8,0.75,8,2432378,100.0,High,1순위
RISK-2459,Data Leakage,Database Server,Vulnerability Exploitation,4.89,5,7,3,6,10,0.34,10,1654810,100.0,High,1순위
RISK-2460,External Attack,Endpoint PC,Data Exfiltration,4.02,7,9,4,3,10,0.48,9,2203083,100.0,High,1순위
RISK-2461,Service Disruption,File Server,Vulnerability Exploitation,9.94,5,3,1,5,9,0.4,8,2428298,100.0,High,1순위
RISK-2462,Malware Infection,Endpoint PC,C2 Communication,8.8,3,6,9,10,8,0.36,7,2357960,100.0,High,1순위
RISK-2463,External Attack,Web Server,C2 Communication,6.23,10,8,8,5,2,0.07,6,2465955,100.0,High,1순위
RISK-2464,Malware Infection,VPN Server,C2 Communication,5.69,5,6,4,1,2,0.37,8,2859698,100.0,High,1순위
RISK-2465,Service Disruption,VPN Server,Phishing,6.21,7,2,2,3,3,0.85,6,3217127,100.0,High,1순위
RISK-2466,External Attack,Database Server,C2 Communication,2.01,5,7,9,3,7,0.67,2,1980927,83.55,High,1순위
RISK-2467,External Attack,Database Server,Phishing,3.95,5,2,4,1,9,0.18,9,2416638,100.0,High,1순위
RISK-2468,Credential Compromise,Web Server,Brute Force,0.39,9,2,9,7,8,0.58,9,2419705,87.41,High,1순위
RISK-2469,Service Disruption,Endpoint PC,C2 Communication,4.76,3,2,10,1,9,0.85,3,1229569,96.64,High,1순위
RISK-2470,Insider Threat,Cloud Service,Phishing,5.43,6,1,3,7,6,0.68,9,2840542,100.0,High,1순위
RISK-2471,External Attack,Cloud Service,Vulnerability Exploitation,2.28,1,1,7,4,1,0.18,2,253402,0.0,Low,3순위
RISK-2472,Credential Compromise,Cloud Service,Phishing,9.64,10,7,7,9,4,0.83,3,2578692,100.0,High,1순위
RISK-2473,External Attack,File Server,DDoS,9.09,5,5,10,7,6,0.32,6,2300557,100.0,High,1순위
RISK-2474,Credential Compromise,Web Server,Phishing,7.22,8,3,4,5,6,0.46,4,2240355,100.0,High,1순위
RISK-2475,Data Leakage,VPN Server,DDoS,5.33,5,1,2,7,8,0.52,8,2473646,100.0,High,1순위
RISK-2476,Insider Threat,VPN Server,Vulnerability Exploitation,8.7,9,10,9,9,1,0.82,1,1922623,100.0,High,1순위
RISK-2477,External Attack,Endpoint PC,Phishing,1.31,6,6,4,10,2,0.89,6,1537104,84.34,High,1순위
RISK-2478,Service Disruption,Web Server,Vulnerability Exploitation,7.91,8,1,8,6,2,0.89,2,1965233,90.32,High,1순위
RISK-2479,Malware Infection,File Server,DDoS,1.25,10,9,2,1,6,0.06,6,3063803,100.0,High,1순위
RISK-2480,Service Disruption,Web Server,Data Exfiltration,7.94,8,2,8,6,7,0.88,1,2403994,100.0,High,1순위
RISK-2481,Insider Threat,Web Server,C2 Communication,2.76,3,1,10,1,2,0.1,2,755897,20.76,Low,3순위
RISK-2482,Data Leakage,Endpoint PC,DDoS,8.77,7,7,5,4,5,0.29,9,2151315,100.0,High,1순위
RISK-2483,Data Leakage,File Server,Brute Force,9.44,7,6,7,8,6,0.51,6,2633673,100.0,High,1순위
RISK-2484,Data Leakage,Cloud Service,Phishing,1.49,10,6,7,5,4,0.48,8,1866921,100.0,High,1순위
RISK-2485,Credential Compromise,VPN Server,Vulnerability Exploitation,4.63,6,5,9,5,1,0.59,7,2147074,76.38,High,1순위
RISK-2486,Service Disruption,Database Server,C2 Communication,9.81,7,4,3,10,3,0.48,9,2335597,100.0,High,1순위
RISK-2487,Malware Infection,Cloud Service,Phishing,4.83,2,4,10,8,10,0.89,9,2156562,100.0,High,1순위
RISK-2488,Malware Infection,File Server,C2 Communication,8.64,9,3,4,8,9,0.27,4,2226064,100.0,High,1순위
RISK-2489,Credential Compromise,VPN Server,Data Exfiltration,5.89,10,10,10,1,6,0.3,7,2380342,100.0,High,1순위
RISK-2490,External Attack,Cloud Service,Phishing,3.75,10,8,4,5,2,0.88,5,2439164,100.0,High,1순위
RISK-2491,Credential Compromise,Endpoint PC,Vulnerability Exploitation,2.86,1,7,10,5,9,0.12,7,1241705,76.01,High,1순위
RISK-2492,Malware Infection,File Server,Data Exfiltration,2.03,1,9,5,8,4,0.6,4,1443540,69.33,Medium,2순위
RISK-2493,Malware Infection,File Server,Phishing,7.62,3,1,6,1,8,0.66,10,2402178,100.0,High,1순위
RISK-2494,External Attack,VPN Server,C2 Communication,3.87,3,7,3,7,10,0.5,1,1797927,100.0,High,1순위
RISK-2495,Service Disruption,VPN Server,Data Exfiltration,5.11,1,10,4,7,7,0.67,4,1106729,100.0,High,1순위
